"","prob.NCLN","prob.OST","prob.Sol","prob.TRAP","prob.Unk","L.prob.NCLN","L.prob.OST","L.prob.Sol","L.prob.TRAP","L.prob.Unk","U.prob.NCLN","U.prob.OST","U.prob.Sol","U.prob.TRAP","U.prob.Unk"
"NCLN",0.603645475891074,0.142273656387834,0.0167948170012276,0.0487166384707267,0.188569412249138,0.58936077414311,0.132192524848623,0.013626960541482,0.0429519472487344,0.176917043019695,0.617755549179706,0.152988051669963,0.020683661819511,0.0552103906916056,0.200802013504147
"OST",0.0528558907882437,0.777459615366425,0.00906252279937015,0.0550119426056198,0.105610028440341,0.0494491659411472,0.768196187517441,0.00773430208383169,0.0508848054082443,0.0994728522172582,0.0564833704014191,0.786455760258683,0.0106163999642148,0.0594528530963037,0.112078724176764
"Sol",0.0296733586410043,0.0871727419681868,0.442856718824619,0.0354124352712686,0.404884745294922,0.0253200459960169,0.0790258923708458,0.422463327880283,0.0304291739808464,0.386244299009382,0.0347484588487304,0.0960718465293837,0.463444585686883,0.041177126058989,0.423803610707485
"TRAP",0.168332992181288,0.509597874214156,0.0301009968188439,0.0904388182138323,0.20152931857188,0.15489834614866,0.489129882245568,0.0244096120955733,0.0802564763455539,0.185920084251214,0.182680974277326,0.53003373747014,0.0370689722648953,0.101770074630384,0.218097960070544
"Unk",0.117650848287558,0.238646562740344,0.170554319163866,0.0494991328445848,0.423649136963648,0.111192887154627,0.227570169035394,0.159684959550532,0.0449203295073606,0.409812488525545,0.124431371433695,0.250087523652688,0.182003285448867,0.0545180194897728,0.437606563147233
