"","prob.NCLN","prob.NCLNTRAP","prob.non","prob.OST","prob.Sol","prob.TRAP","prob.Unk","L.prob.NCLN","L.prob.NCLNTRAP","L.prob.non","L.prob.OST","L.prob.Sol","L.prob.TRAP","L.prob.Unk","U.prob.NCLN","U.prob.NCLNTRAP","U.prob.non","U.prob.OST","U.prob.Sol","U.prob.TRAP","U.prob.Unk"
"NCLN",0.193379214327423,0.0657228982942569,0.600321573631615,0.0429866594782021,0.0057843447429944,0.0185644853924148,0.0732408241330941,0.184975773871461,0.0594044685258334,0.588792332760011,0.0386135349453883,0.00438954091442877,0.0158352127218799,0.0674415659454096,0.202069770581495,0.0726614584845703,0.6117407204042,0.0478304158690181,0.00761896446148179,0.0217537632383487,0.0794962472368537
"NCLNTRAP",0.12468456304637,0.0480333759585396,0.688766898530472,0.0575984276577766,0.00623961247807728,0.015624248043157,0.0590528742856075,0.116589505510779,0.0425207482156893,0.676256615170282,0.0516808852034525,0.00458435451163773,0.0128060123515446,0.0531974941990125,0.133256894896691,0.0542202201999326,0.701007490333797,0.0641477048872302,0.00848743310330831,0.0190507277294013,0.0655081567642669
"OST",0.0105705546182845,0.0106588958893689,0.605786952266035,0.304766464857311,0.00367903328431165,0.0219122572207923,0.0426258418638968,0.00965768772468246,0.00956340210882864,0.594989348024864,0.293967830556345,0.00314266496917847,0.0202285378808372,0.0403321483086412,0.011568699839172,0.0118783741733857,0.616482243415526,0.315784356350798,0.00430654975265805,0.0237327260179765,0.0450438554410998
"Sol",0.00366017729929236,0.00251492107301625,0.790584443523836,0.0181716328863794,0.092105531445225,0.00747134401854265,0.0854919497537085,0.00297061436052156,0.00196023560306614,0.782727675102441,0.0164174430269,0.0860586007425501,0.00641423724415364,0.0810860994723242,0.00450908323758381,0.0032260578593785,0.798230340607986,0.0201094243471449,0.0985315442747933,0.00870114297949242,0.0901137176514489
"TRAP",0.0451055903690837,0.0291152295497952,0.56490609980019,0.21961046935782,0.0132247873397881,0.0398409452626675,0.0881968783206553,0.0402902604679335,0.0250788975362886,0.550538984860423,0.207219125178901,0.0107161110972991,0.0352263716530562,0.0811353435672222,0.0504661661034759,0.0337786823579396,0.57916501844053,0.232525462080989,0.0163110697183996,0.0450318018037359,0.0958089238435009
"Unk",0.0207821390214993,0.00955578412234614,0.742212895626079,0.0604728120058638,0.0439976997768172,0.0127570469015802,0.110221622545814,0.0194227991364694,0.00849785678548502,0.735238422520778,0.0570447770960627,0.0408854956358704,0.0115373663995215,0.105636700018627,0.0222344575848096,0.0107439892968314,0.749066348382516,0.0640928483115854,0.0473351131544197,0.0141038269895616,0.114979959939508
