"","prob.NCLN","prob.OST","prob.Sol","prob.TRAP","prob.Unk","L.prob.NCLN","L.prob.OST","L.prob.Sol","L.prob.TRAP","L.prob.Unk","U.prob.NCLN","U.prob.OST","U.prob.Sol","U.prob.TRAP","U.prob.Unk"
"TRAP",0.14470466378482,0.489580777334616,0.0540698148585297,0.0948036485078765,0.216841095514158,0.13515203107636,0.473907293363919,0.0478792164302999,0.0868635606565557,0.204427512403355,0.154811621402195,0.505274773542184,0.0610095448705958,0.103387353763929,0.229790751874659
"OST",0.0460248695194027,0.753507054459681,0.0166188885673856,0.0653612510525704,0.118487936400961,0.0436872278341013,0.745853197493356,0.0151986036781838,0.0617099473242545,0.113381007724,0.0484812538443884,0.761004269315241,0.0181694480516342,0.0692126616906569,0.123792775129983
"NCLN",0.55366142940232,0.15778589894063,0.0219005754188608,0.0654198697327293,0.20123222650546,0.543111203182466,0.149990863551465,0.0192169715688457,0.0604310325433343,0.192416566823577,0.564163536051822,0.165906972725221,0.0249494048816974,0.0707895267197374,0.210346580097725
"Sol",0.025835477309434,0.0665324954815638,0.466354561420622,0.0288014051477804,0.412476060640599,0.022790835974528,0.0612834389508527,0.450676448235825,0.0254245306770238,0.397745831212765,0.0292746693450906,0.0721965667127778,0.48209941975517,0.0326117860772193,0.427364705402016
"Unk",0.108817948130274,0.220063536525849,0.193080417259732,0.0537497745763637,0.424288323507782,0.104175362249381,0.212067718308707,0.184243600998463,0.0500591025502139,0.413386751178841,0.113641185063068,0.228273488776566,0.202235996412342,0.0576960198106049,0.435264069534494
