"","prob.NCLN","prob.NCLNTRAP","prob.non","prob.OST","prob.Sol","prob.TRAP","prob.Unk","L.prob.NCLN","L.prob.NCLNTRAP","L.prob.non","L.prob.OST","L.prob.Sol","L.prob.TRAP","L.prob.Unk","U.prob.NCLN","U.prob.NCLNTRAP","U.prob.non","U.prob.OST","U.prob.Sol","U.prob.TRAP","U.prob.Unk"
"NCLN",0.194658270857891,0.0773793105545782,0.53765942758401,0.0527021302337176,0.00991090358057057,0.0317160490427376,0.0959739081464951,0.186159851688192,0.0701613270944129,0.525666022714953,0.0477059085037304,0.00799584943720505,0.0278971003827686,0.0892614714641544,0.203447668149136,0.0852717605838134,0.549609407026684,0.0581896311992198,0.0122789473929214,0.0360384080145513,0.103133956520207
"NCLNTRAP",0.105982107989912,0.0478356822590519,0.655075842495118,0.0824540477387893,0.0103479314168757,0.0319525120022225,0.0663518760980302,0.0984440614469207,0.0422665886321616,0.641900527372915,0.0750755442104612,0.00810535377602917,0.027619032778514,0.0601250242960695,0.11402435519064,0.0540971181890628,0.668017113943441,0.0904867741562938,0.013202723341729,0.0369400923044609,0.0731734051049111
"OST",0.00875379635053308,0.00737727219792767,0.583635900683821,0.30574146059834,0.00968866477971389,0.0310345407161539,0.0537683646735104,0.00792534154139796,0.00652041343618391,0.572608066116915,0.294537004256722,0.00873122353221331,0.0287483282701302,0.0511227188644885,0.00966800757073229,0.00834578633155774,0.594580653875879,0.31718051006202,0.010749957740675,0.033496294077309,0.0565427663720434
"Sol",0.00218779536441061,0.00152525208140263,0.81553676757998,0.0069930345757357,0.0955689216257486,0.00357889673424563,0.074609332038477,0.00167168203152183,0.00111742067930282,0.808292332453912,0.00600004933578123,0.0899364132754106,0.00289792463024737,0.0706511354438691,0.00286279604487727,0.00208162184467659,0.822567537397148,0.00814900782595341,0.10151483257916,0.00441917863219097,0.0787704889538127
"TRAP",0.0265384016994828,0.0138926161520752,0.661468089381773,0.153023942160772,0.0274961238462053,0.038589814098412,0.0789910126612798,0.0228983358875727,0.0113307100855959,0.647993511892646,0.14274250128483,0.0236851568357112,0.0340401199985315,0.0724041240972791,0.0307389117843121,0.0170238024072786,0.674685816539089,0.163904343099911,0.0319002441058412,0.0437200828675141,0.0861215011829029
"Unk",0.0159834690292078,0.00836753625551355,0.752305311584033,0.0480547949449048,0.0514018480231681,0.0139883983824835,0.109898641780689,0.0147968138865808,0.0073925994872097,0.745470132171264,0.045104440147714,0.0482092196028797,0.0126655088337527,0.105433445018738,0.0172636223770015,0.00946982113536409,0.759016274205706,0.0511877920287621,0.0547937346276981,0.0154472995716047,0.114528732905454
